# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -4.13 -4.26 -3.89 -4.51
9.60 -3.98 -4.09 -3.77 -4.42
9.70 -3.82 -3.92 -3.65 -4.35
9.80 -3.67 -3.76 -3.52 -4.27
9.90 -3.52 -3.60 -3.38 -4.20
10.00 -3.38 -3.45 -3.25 -4.13
10.10 -3.24 -3.31 -3.12 -4.07
10.20 -3.10 -3.17 -2.99 -4.01
10.30 -2.97 -3.03 -2.87 -3.95
10.40 -2.84 -2.91 -2.74 -3.90
10.50 -2.71 -2.79 -2.62 -3.85
10.60 -2.59 -2.67 -2.51 -3.80
10.70 -2.47 -2.55 -2.39 -3.76
10.80 -2.36 -2.43 -2.27 -3.72
10.90 -2.25 -2.32 -2.14 -3.68
11.00 -2.13 -2.23 -2.01 -3.65
11.10 -2.02 -2.14 -1.88 -3.61
11.20 -1.91 -2.02 -1.75 -3.58
11.30 -1.80 -1.92 -1.60 -3.54
11.40 -1.69 -1.83 -1.47 -3.51
11.50 -1.57 -1.74 -1.32 -3.47
