# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.45 -3.62 -3.11 -5.13
9.60 -3.27 -3.42 -2.99 -5.03
9.70 -3.10 -3.23 -2.84 -4.93
9.80 -2.92 -3.04 -2.68 -4.83
9.90 -2.75 -2.85 -2.54 -4.74
10.00 -2.58 -2.67 -2.38 -4.64
10.10 -2.41 -2.49 -2.22 -4.55
10.20 -2.24 -2.31 -2.07 -4.46
10.30 -2.08 -2.15 -1.93 -4.37
10.40 -1.92 -1.98 -1.78 -4.28
10.50 -1.76 -1.83 -1.64 -4.20
10.60 -1.60 -1.67 -1.48 -4.12
10.70 -1.45 -1.50 -1.32 -4.04
10.80 -1.29 -1.35 -1.17 -3.96
10.90 -1.14 -1.20 -1.03 -3.89
11.00 -0.99 -1.05 -0.87 -3.82
11.10 -0.85 -0.92 -0.72 -3.74
11.20 -0.70 -0.78 -0.57 -3.67
11.30 -0.55 -0.64 -0.40 -3.60
11.40 -0.40 -0.52 -0.21 -3.52
11.50 -0.25 -0.39 -0.05 -3.45
