# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.51 -3.62 -3.32 -4.54
9.60 -3.35 -3.45 -3.18 -4.45
9.70 -3.19 -3.28 -3.04 -4.37
9.80 -3.03 -3.11 -2.90 -4.28
9.90 -2.87 -2.94 -2.76 -4.20
10.00 -2.71 -2.77 -2.62 -4.12
10.10 -2.56 -2.61 -2.48 -4.04
10.20 -2.40 -2.46 -2.34 -3.96
10.30 -2.25 -2.31 -2.20 -3.89
10.40 -2.11 -2.16 -2.06 -3.82
10.50 -1.96 -2.01 -1.92 -3.75
10.60 -1.82 -1.87 -1.78 -3.69
10.70 -1.68 -1.73 -1.64 -3.62
10.80 -1.55 -1.58 -1.50 -3.56
10.90 -1.41 -1.45 -1.36 -3.50
11.00 -1.27 -1.31 -1.22 -3.44
11.10 -1.14 -1.18 -1.07 -3.38
11.20 -1.00 -1.06 -0.92 -3.32
11.30 -0.87 -0.93 -0.76 -3.26
11.40 -0.73 -0.81 -0.61 -3.20
11.50 -0.60 -0.69 -0.45 -3.14
