# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -4.46 -4.63 -4.10 -4.60
9.60 -4.31 -4.45 -3.99 -4.52
9.70 -4.15 -4.27 -3.87 -4.45
9.80 -4.01 -4.13 -3.74 -4.37
9.90 -3.86 -3.97 -3.64 -4.31
10.00 -3.73 -3.82 -3.53 -4.24
10.10 -3.59 -3.68 -3.42 -4.19
10.20 -3.46 -3.55 -3.32 -4.13
10.30 -3.34 -3.42 -3.20 -4.08
10.40 -3.22 -3.31 -3.10 -4.04
10.50 -3.10 -3.19 -2.99 -4.00
10.60 -2.99 -3.08 -2.89 -3.96
10.70 -2.88 -2.98 -2.77 -3.93
10.80 -2.77 -2.87 -2.66 -3.90
10.90 -2.67 -2.78 -2.55 -3.87
11.00 -2.57 -2.69 -2.45 -3.85
11.10 -2.47 -2.60 -2.35 -3.82
11.20 -2.37 -2.52 -2.24 -3.80
11.30 -2.27 -2.44 -2.12 -3.78
11.40 -2.17 -2.35 -2.00 -3.75
11.50 -2.06 -2.27 -1.86 -3.72
