# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.68 -3.81 -3.45 -4.47
9.60 -3.52 -3.64 -3.32 -4.39
9.70 -3.36 -3.46 -3.20 -4.30
9.80 -3.20 -3.29 -3.08 -4.22
9.90 -3.04 -3.13 -2.94 -4.14
10.00 -2.89 -2.97 -2.80 -4.07
10.10 -2.74 -2.81 -2.67 -3.99
10.20 -2.60 -2.65 -2.54 -3.92
10.30 -2.45 -2.50 -2.41 -3.85
10.40 -2.31 -2.36 -2.27 -3.79
10.50 -2.17 -2.22 -2.14 -3.73
10.60 -2.04 -2.08 -2.01 -3.67
10.70 -1.91 -1.95 -1.86 -3.61
10.80 -1.77 -1.82 -1.73 -3.56
10.90 -1.65 -1.70 -1.59 -3.50
11.00 -1.52 -1.58 -1.46 -3.45
11.10 -1.39 -1.46 -1.32 -3.40
11.20 -1.26 -1.35 -1.18 -3.35
11.30 -1.13 -1.23 -1.04 -3.30
11.40 -1.00 -1.12 -0.89 -3.24
11.50 -0.87 -1.02 -0.74 -3.19
