# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.40 -3.57 -3.25 -4.80
9.60 -3.23 -3.37 -3.10 -4.71
9.70 -3.07 -3.18 -2.93 -4.61
9.80 -2.90 -3.00 -2.78 -4.52
9.90 -2.73 -2.82 -2.64 -4.43
10.00 -2.57 -2.64 -2.49 -4.34
10.10 -2.40 -2.47 -2.34 -4.26
10.20 -2.24 -2.30 -2.18 -4.17
10.30 -2.09 -2.13 -2.02 -4.09
10.40 -1.93 -1.98 -1.86 -4.01
10.50 -1.78 -1.83 -1.71 -3.93
10.60 -1.63 -1.67 -1.56 -3.86
10.70 -1.48 -1.52 -1.42 -3.79
10.80 -1.33 -1.37 -1.27 -3.72
10.90 -1.19 -1.22 -1.11 -3.65
11.00 -1.04 -1.09 -0.95 -3.58
11.10 -0.90 -0.95 -0.81 -3.51
11.20 -0.75 -0.81 -0.66 -3.44
11.30 -0.61 -0.67 -0.48 -3.37
11.40 -0.46 -0.55 -0.32 -3.30
11.50 -0.32 -0.42 -0.15 -3.24
