# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.28 -3.38 -3.16 -4.10
9.60 -3.16 -3.24 -3.06 -4.09
9.70 -3.04 -3.11 -2.96 -4.07
9.80 -2.92 -2.99 -2.86 -4.01
9.90 -2.81 -2.87 -2.76 -3.98
10.00 -2.69 -2.75 -2.65 -3.96
10.10 -2.58 -2.63 -2.54 -3.94
10.20 -2.46 -2.51 -2.43 -3.86
10.30 -2.35 -2.39 -2.32 -3.80
10.40 -2.24 -2.28 -2.21 -3.76
10.50 -2.13 -2.16 -2.10 -3.69
10.60 -2.02 -2.04 -1.99 -3.60
10.70 -1.91 -1.93 -1.89 -3.53
10.80 -1.80 -1.82 -1.78 -3.40
10.90 -1.69 -1.71 -1.66 -3.25
11.00 -1.58 -1.60 -1.55 -3.05
11.10 -1.47 -1.50 -1.43 -2.76
11.20 -1.36 -1.40 -1.30 nan
11.30 -1.25 -1.30 -1.16 nan
11.40 -1.13 -1.21 -1.02 nan
11.50 -1.01 -1.11 -0.87 nan
11.60 -0.89 -1.01 -0.72 nan
11.70 -0.78 -0.92 -0.58 nan
11.80 -0.67 -0.83 -0.46 nan
11.90 -0.57 -0.75 -0.36 nan
12.00 -0.49 -0.68 -0.27 nan
