# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.66 -3.81 -3.52 -4.21
9.60 -3.57 -3.69 -3.46 -4.18
9.70 -3.47 -3.58 -3.39 -4.18
9.80 -3.38 -3.47 -3.32 -4.17
9.90 -3.29 -3.37 -3.25 -4.16
10.00 -3.20 -3.27 -3.17 -4.10
10.10 -3.11 -3.17 -3.09 -4.07
10.20 -3.03 -3.08 -3.01 -4.04
10.30 -2.94 -2.99 -2.92 -3.98
10.40 -2.86 -2.89 -2.84 -3.92
10.50 -2.77 -2.81 -2.76 -3.88
10.60 -2.70 -2.73 -2.68 -3.77
10.70 -2.62 -2.65 -2.60 -3.69
10.80 -2.55 -2.58 -2.52 -3.56
10.90 -2.48 -2.51 -2.44 -3.41
11.00 -2.41 -2.44 -2.36 -3.29
11.10 -2.34 -2.38 -2.28 -3.22
11.20 -2.27 -2.32 -2.20 -3.12
11.30 -2.21 -2.26 -2.11 -2.82
11.40 -2.14 -2.20 -2.02 nan
11.50 -2.07 -2.14 -1.92 nan
11.60 -1.99 -2.08 -1.81 nan
11.70 -1.92 -2.02 -1.69 nan
11.80 -1.83 -1.96 -1.56 nan
11.90 -1.74 -1.90 -1.45 nan
12.00 -1.65 -1.84 -1.35 nan
