# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.97 -4.09 -3.83 -4.31
9.60 -3.89 -4.00 -3.77 -4.30
9.70 -3.81 -3.91 -3.70 -4.28
9.80 -3.73 -3.81 -3.63 -4.27
9.90 -3.65 -3.72 -3.57 -4.26
10.00 -3.57 -3.63 -3.50 -4.24
10.10 -3.50 -3.54 -3.44 -4.19
10.20 -3.42 -3.47 -3.38 -4.16
10.30 -3.35 -3.40 -3.31 -4.13
10.40 -3.28 -3.33 -3.24 -4.06
10.50 -3.21 -3.26 -3.18 -4.01
10.60 -3.15 -3.20 -3.13 -3.92
10.70 -3.10 -3.14 -3.07 -3.83
10.80 -3.04 -3.09 -3.01 -3.73
10.90 -2.99 -3.05 -2.95 -3.63
11.00 -2.95 -3.01 -2.89 -3.57
11.10 -2.90 -2.97 -2.84 -3.57
11.20 -2.86 -2.94 -2.79 -3.52
11.30 -2.82 -2.91 -2.72 -3.38
11.40 -2.78 -2.90 -2.66 nan
11.50 -2.74 -2.87 -2.58 nan
11.60 -2.70 -2.86 -2.51 nan
11.70 -2.65 -2.84 -2.42 nan
11.80 -2.61 -2.83 -2.32 nan
11.90 -2.55 -2.81 -2.21 nan
12.00 -2.49 -2.80 -2.09 nan
