# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.18 -3.30 -3.03 -4.10
9.60 -3.04 -3.16 -2.91 -4.07
9.70 -2.90 -3.01 -2.79 -4.02
9.80 -2.77 -2.87 -2.68 -3.98
9.90 -2.64 -2.73 -2.57 -3.95
10.00 -2.51 -2.58 -2.45 -3.92
10.10 -2.38 -2.43 -2.33 -3.86
10.20 -2.25 -2.30 -2.21 -3.79
10.30 -2.12 -2.16 -2.08 -3.74
10.40 -1.99 -2.04 -1.96 -3.70
10.50 -1.86 -1.90 -1.83 -3.60
10.60 -1.73 -1.77 -1.70 -3.52
10.70 -1.60 -1.63 -1.57 -3.44
10.80 -1.47 -1.50 -1.45 -3.32
10.90 -1.35 -1.37 -1.32 -3.17
11.00 -1.22 -1.24 -1.19 -2.98
11.10 -1.09 -1.11 -1.05 -2.70
11.20 -0.95 -0.99 -0.90 nan
11.30 -0.82 -0.87 -0.75 nan
11.40 -0.68 -0.75 -0.60 nan
11.50 -0.55 -0.64 -0.45 nan
11.60 -0.42 -0.52 -0.30 nan
11.70 -0.30 -0.41 -0.16 nan
11.80 -0.19 -0.31 -0.04 nan
11.90 -0.09 -0.23 0.06 nan
12.00 -0.01 -0.16 0.16 nan
