# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.16 -3.35 -2.96 -4.23
9.60 -3.00 -3.17 -2.83 -4.18
9.70 -2.83 -2.99 -2.69 -4.12
9.80 -2.68 -2.81 -2.56 -4.06
9.90 -2.52 -2.64 -2.43 -4.01
10.00 -2.36 -2.47 -2.30 -3.97
10.10 -2.21 -2.29 -2.16 -3.90
10.20 -2.05 -2.13 -2.02 -3.81
10.30 -1.90 -1.97 -1.87 -3.74
10.40 -1.75 -1.81 -1.71 -3.69
10.50 -1.59 -1.66 -1.56 -3.56
10.60 -1.44 -1.50 -1.40 -3.47
10.70 -1.28 -1.33 -1.25 -3.34
10.80 -1.12 -1.17 -1.09 -3.23
10.90 -0.97 -1.02 -0.93 -3.06
11.00 -0.81 -0.85 -0.76 -2.86
11.10 -0.65 -0.70 -0.58 nan
11.20 -0.48 -0.54 -0.40 nan
11.30 -0.32 -0.39 -0.23 nan
11.40 -0.16 -0.24 -0.04 nan
11.50 -0.01 -0.09 0.13 nan
11.60 0.13 0.04 0.27 nan
11.70 0.27 0.16 0.41 nan
11.80 0.39 0.28 0.54 nan
11.90 0.49 0.39 0.67 nan
12.00 0.59 0.47 0.78 nan
