# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.51 -3.68 -3.38 -4.15
9.60 -3.41 -3.56 -3.30 -4.14
9.70 -3.31 -3.43 -3.22 -4.14
9.80 -3.21 -3.31 -3.14 -4.13
9.90 -3.11 -3.19 -3.06 -4.08
10.00 -3.02 -3.07 -2.97 -4.04
10.10 -2.92 -2.96 -2.89 -4.02
10.20 -2.82 -2.87 -2.79 -4.00
10.30 -2.73 -2.77 -2.70 -3.91
10.40 -2.64 -2.67 -2.61 -3.86
10.50 -2.55 -2.57 -2.53 -3.82
10.60 -2.46 -2.48 -2.43 -3.71
10.70 -2.37 -2.39 -2.34 -3.64
10.80 -2.29 -2.31 -2.26 -3.50
10.90 -2.20 -2.24 -2.16 -3.34
11.00 -2.12 -2.16 -2.08 -3.16
11.10 -2.04 -2.09 -1.98 -3.03
11.20 -1.96 -2.02 -1.89 -2.86
11.30 -1.88 -1.95 -1.80 nan
11.40 -1.79 -1.88 -1.69 nan
11.50 -1.71 -1.82 -1.58 nan
11.60 -1.61 -1.76 -1.46 nan
11.70 -1.52 -1.69 -1.32 nan
11.80 -1.42 -1.62 -1.20 nan
11.90 -1.32 -1.56 -1.08 nan
12.00 -1.23 -1.49 -0.98 nan
